388179,1,13,24243.8,-0.529473,-0.828824,-0.180859,0.176312,0.276387,0.0602959
390744,1,-13,2306.39,-0.722998,-0.0542803,-0.688714,0.241451,0.00842368,0.229656
393574,1,-13,5938.59,-0.975072,-0.158699,-0.15508,0.325561,0.0499364,0.0512578
394690,1,13,925.635,-0.770081,-0.593569,-0.233776,0.267652,0.189761,0.0588573
394912,1,-13,1678.77,-0.936426,-0.226355,-0.268086,0.312019,0.0819555,0.0838952
395467,1,13,167.891,-0.954551,-0.261373,-0.143239,0.311944,0.0935135,0.0711158
395920,1,-13,720.174,-0.830052,-0.427837,-0.357727,0.268426,0.136344,0.143069
396250,1,13,2359.18,-0.834437,-0.140643,-0.532855,0.275945,0.046812,0.181035
397028,1,-13,12587.0,-0.706452,-0.564041,-0.427532,0.235348,0.188631,0.141918
397212,1,-13,4179.65,-0.87267,-0.320709,-0.368229,0.290897,0.102976,0.126041
397767,1,-13,1945.4,-0.996019,-0.0872879,-0.0180555,0.33117,0.0369661,0.00841784
404136,1,-13,144.671,-0.775588,-0.208264,-0.595894,0.267104,0.0376663,0.195826
408028,1,-13,529.544,-0.970277,-0.177078,-0.164939,0.319747,0.0535939,0.0774657
409463,1,-13,12532.6,-0.746405,-0.645842,-0.160522,0.248198,0.215991,0.0534508
410090,1,-13,7428.32,-0.818071,-0.296964,-0.492517,0.271643,0.0998599,0.165376
415253,1,-13,4000.94,-0.709413,-0.691617,-0.135647,0.236298,0.231509,0.0409614
418623,1,-13,2459.02,-0.853058,-0.331141,-0.403285,0.281129,0.11459,0.137647
422659,1,13,11726.6,-0.418611,-0.887383,-0.193174,0.138051,0.296575,0.0640038
423148,1,-13,1628.3,-0.803542,-0.546484,-0.235959,0.267807,0.176653,0.0904655
425278,1,-13,2498.15,-0.926914,-0.374343,-0.0264113,0.307664,0.12782,0.0107751
426660,1,-13,2442.88,-0.70845,-0.677582,-0.197437,0.235482,0.225563,0.0691431
436637,1,-13,12759.8,-0.745318,-0.394,-0.537834,0.248734,0.131126,0.179021
441464,1,-13,2254.62,-0.773381,-0.513037,-0.372391,0.267566,0.16405,0.112282
444823,1,13,2223.86,-0.96916,-0.0453987,-0.242213,0.323107,0.01547,0.0804591
444932,1,13,1804.35,-0.673379,-0.0864028,-0.734231,0.221489,0.0277621,0.247554
449006,1,13,6451.61,-0.938659,-0.300899,-0.168461,0.31249,0.100216,0.0584606
450965,1,-13,3399.56,-0.66345,-0.215442,-0.716532,0.221233,0.0692325,0.239529
451567,1,13,39953.8,-0.939476,-0.24508,-0.239418,0.313264,0.0812881,0.0798073
452784,1,13,2304.58,-0.955605,-0.290041,-0.0519198,0.317393,0.0995901,0.0213258
454898,1,13,2411.76,-0.721707,-0.661707,-0.20318,0.240226,0.220999,0.0675425
461632,1,13,5279.23,-0.975242,-0.206867,-0.0781595,0.324968,0.0694292,0.0262021
462870,1,13,4487.31,-0.388276,-0.519224,-0.761346,0.130508,0.175917,0.251261
465892,1,-13,164.067,-0.767015,-0.516519,-0.380654,0.255689,0.186695,0.104303
467411,1,-13,710.369,-0.774444,-0.0987661,-0.624886,0.244553,0.0244988,0.225177
469035,1,-13,452.593,-0.850324,-0.482939,-0.209091,0.287875,0.157478,0.0586473
470010,1,13,11264.3,-0.802201,-0.166838,-0.57327,0.266809,0.0548324,0.192139
470433,1,13,989.395,-0.792416,-0.491916,-0.360689,0.26491,0.174379,0.102594
472905,1,13,1180.37,-0.412132,-0.888269,-0.202793,0.129838,0.302098,0.0546796
473711,1,13,8474.61,-0.446198,-0.878789,-0.169224,0.151809,0.291294,0.0566835
476522,1,-13,13533.4,-0.868449,-0.455288,-0.196237,0.289114,0.151938,0.0666253
477466,1,13,1846.16,-0.442921,-0.849795,-0.28578,0.140714,0.284386,0.102153
481335,1,13,3990.82,-0.610949,-0.46738,-0.638982,0.201203,0.153068,0.217253
486388,1,13,657.844,-0.945992,-0.210641,-0.246434,0.314747,0.0597625,0.0920537
489762,1,-13,9094.36,-0.750829,-0.624191,-0.215967,0.250302,0.207688,0.0729793
492453,1,-13,1007.84,-0.966408,-0.118851,-0.227884,0.324271,0.0345855,0.0690143
